Time (s),Altitude (m)
59.88125,-185.30612244898
59.9625,-190.204081632653
60.04375,-195.102040816326
60.125,-195.102040816326
60.20625,-195.102040816326
60.2875,-200
60.36875,-204.897959183674
60.45,-204.897959183674
60.53125,-209.795918367347
60.6125,-214.693877551021
60.69375,-209.795918367347
60.775,-214.693877551021
60.85625,-219.591836734694
60.9375,-224.489795918367
61.01875,-229.387755102041
61.1,-229.387755102041
61.18125,-229.387755102041
61.2625,-219.591836734694
61.34375,-224.489795918367
61.425,-234.285714285714
61.50625,-234.285714285714
61.5875,-239.183673469388
61.66875,-244.081632653061
61.75,-244.081632653061
61.83125,-244.081632653061
61.9125,-248.979591836735
61.99375,-248.979591836735
62.075,-244.081632653061
62.15625,-244.081632653061
62.2375,-244.081632653061
62.31875,-244.081632653061
62.4,-244.081632653061
62.48125,-244.081632653061
62.5625,-244.081632653061
62.64375,-244.081632653061
62.725,-244.081632653061
62.80625,-244.081632653061
62.8875,-244.081632653061
62.96875,-244.081632653061
63.05,-244.081632653061
63.13125,-244.081632653061
63.2125,-244.081632653061
63.29375,-244.081632653061
63.375,-244.081632653061
63.45625,-244.081632653061
63.5375,-244.081632653061
63.61875,-244.081632653061
63.7,-244.081632653061
63.78125,-244.081632653061
63.8625,-244.081632653061
63.94375,-244.081632653061
64.025,-244.081632653061
64.10625,-244.081632653061
64.1875,-244.081632653061
64.26875,-244.081632653061
64.35,-244.081632653061
64.43125,-244.081632653061
64.5125,-244.081632653061
64.59375,-244.081632653061
64.675,-239.183673469388
